fcode	fsubgrp	fname	bunit	diarym	unitfo	dilfac	maxw	nut1	nut2	nut3	nut4	nut5	nut6	nut7	nut8	nut9	nut10	nut11	nut12	nut13	nut14	nut15	nut16	nut17	nut18	nut19	nut20	nut21	nut22	nut23	nut24	nut25	nut26	nut27	nut28	nut29	nut30	nut31	nut32	nut33	nut34	nut35	nut36	nut37	nut38	nut39	nut40	nut41	nut42	nut43	nut44	nut45	nut46	nut47	nut48	nut49	nut50	nut51	nut52	nut53	nut54	nut55
7874	42R	RINGOS OTHER CER	100	1	GRAMS	1	100	3.8	1.3	56.5	5.9	424	1783	7.8	19.6	57.8	0	2130	340	39	27	105	1.4	.14	.7	3820	8	0	0	0	.2	.13	4.2	0	2.6	.2	0	18	.2	1	8.04	7.74	.18	2.66	.1	0	.1	1.1	.1	0	0	0	2.7	.36	0	0	0	0	1.4	0	1.3	1.24
7875	42R	CHIPSTICKS OTHER	100	1	GRAMS	1	100	3.2	1.5	58.9	6.8	452	1898	5.8	22.5	60.4	0	1090	840	20	37	120	1.2	.18	.6	1430	2	0	0	0	0	.08	2.9	0	3.8	.5	0	41	.9	1	9.23	8.88	.21	3.06	.12	0	.2	1	.3	0	0	0	3.1	.24	0	0	0	0	1.2	.5	1	.92
7876	42R	TORTILLA CHIPS	100	1	GRAMS	1	100	.9	1.2	58.9	10.3	459	1927	7.6	22.6	60.1	0	850	220	150	89	230	1.6	.09	1.2	1400	5	0	455	0	.17	.09	2.6	0	1.9	.3	0	4	.6	5	3.97	6.91	.13	6.18	4.41	0	.1	1	.1	0	0	0	4.9	.43	455	0	0	0	1.6	.5	.7	1.21
7878	42R	WHEAT CRUNCHIES	100	1	GRAMS	1	100	3.8	2.1	57.3	5.3	450	1891	10.3	20.7	59.4	0	1180	260	38	53	220	2.2	.19	1.3	2180	8	0	0	0	.5	.1	7.3	0	2.7	.3	0	18	.2	1	9.06	8	.06	2.47	.2	0	.6	1.4	.1	0	0	0	3.3	1.1	0	0	0	0	2.2	0	2.1	1.76
7879	42R	FRAZZLES BACON R	100	1	GRAMS	1	100	4.1	1.6	60.9	4.4	457	1918	7	21.6	62.5	0	1735	135	13	65	120	.6	.1	.9	3040	5	0	460	0	.38	.15	2.8	0	4	.2	0	4	.6	5	7.97	8.64	.45	3.46	.1	0	.9	.7	0	0	0	0	2.1	.34	460	0	0	0	.6	.3	1.3	1.12
7882	42R	PIZZA SNACKS EG	100	1	GRAMS	1	100	3.6	2.8	61.8	5.7	486	2036	3.9	25.3	64.6	0	1350	525	40	29	94	1.8	.12	.6	2320	2	0	78	0	.59	.09	2.3	0	4.3	.4	0	41	.9	1	10.38	9.99	.23	3.44	.13	0	.4	2	.4	0	0	0	2.6	.32	78	0	0	0	1.8	2	.8	.62
7883	42R	SPACE RAIDERS AN	100	1	GRAMS	1	100	4.2	1.4	54	4	491	2053	6.4	28.6	55.4	0	1500	325	27	22	105	.8	.06	.5	2442	5	0	146	0	.19	.16	1.6	0	5.9	.1	0	4	.6	5	10.55	11.44	.6	4.59	.13	0	.3	.8	.3	0	0	0	1.9	.22	146	0	0	0	.8	0	1.4	1.02
7884	56R	CASHEW NUTS ROAS	100	1	GRAMS	1	50	2.4	5.6	13.2	4.4	611	2533	20.5	50.9	18.8	0	290	730	35	250	510	6.2	2.04	5.7	490	11	0	6	0	.41	.16	6.5	0	1.3	.4	0	68	1.1	13	10.1	29.4	.21	8.89	0	0	0	5.6	0	0	0	0	3.2	1.8	6	0	0	0	6.2	0	5.6	3.86
7885	43R	YOGHURT COATED P	100	1	GRAMS	1	120	6.7	58	1.5	2.5	454	1903	7.1	22.5	59.5	0	123	453	140.25	47	176	1.3	.28	.255	95	3	0	27	0	.06	.25	3.1	.5	2.2	.1	.1	6	.3	9	14.13	5.05	.02	2.24	.06	5	12.2	22.1	13.6	9.8	0	.3	1.1	.46	27	0	0	0	1.3	39.5	18.5	1.13
7886	41B	FRUIT SPREAD WIT	100	1	GRAMS	1	30	64	30.7	.7	1	121	508	.7	.1	31.4	0	16	193	11	10	20	.6	0	.1	9	7	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	13.6	.4	16.7	0	0	0	.9	.19	0	0	0	0	.6	29.2	1.5	.11
7887	41B	FRUIT SPREADS, S	100	1	GRAMS	1	30	64	30.7	.7	.9	121	508	.7	.1	31.4	0	12	193	11	10	20	.6	0	.1	4	7	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	13.6	.4	16.7	0	0	0	.9	.19	0	0	0	0	.6	28.5	2.2	.11
7888	50A	DRINKING CHOCOLA	100	1	GRAMS	12	40	2.1	54	2	0	348	1476	25	4.2	56	0	250	410	33	150	190	2.4	1.1	1.9	130	10	0	20	0	.06	.04	6	0	.2	0	0	10	.6	3	2.48	1.4	0	.12	0	0	0	54	0	0	0	0	0	.5	20	0	0	0	2.4	54	0	4
7890	50A	INSTANT LOW CALO	100	1	GRAMS	23	40	4.5	51.9	0	0	359	1513	16	11.1	51.9	0	1513	1802	411	186	618	7.5	2.2	3.2	2399	177	0	16	.75	.1	.79	4.4	0	.7	0	.2	13	1.7	21	7.87000000000001	1.53	0	.83	.09	3	.7	0	0	32.9	0	18.3	0	1.1	16	0	0	0	7.5	19	32.9	2.56
7891	13R	COFFEE ICED OF F	100	1	GRAMS	1	300	87.0871	7.2386	.1089	0	59.9861	251.495	2.2673	2.5871	7.3475	0	34.6337	130.3743	74.4337	10.5644	60.7822	.1981	.0135	.286	62.3366	10.0386	31.1782	16.5842	.0199	.0269	.1215	.7762	0	.0663	0	.1327	.7723	.199	1.9901	1.5921	.6169	.0199	.0398	.126	9.2871	0	4.0545	0	3.1842	0	0	0	0	17	0	0	0	.2	3.9	3.1	.35
7894	46A	COLA CHERRY COLA	100	1	GRAMS	1	400	89.7	10.9	0	0	41	174	0	0	10.9	0	5	1	6	1	30	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3.5	4	3.4	0	0	0	0	0	0	0	0	0	0	10.9	0	0
7895	46A	COLA NOT CANNED	100	1	Grams	1	400	89.7	10.9	0	0	41	174	0	0	10.9	0	5	1	6	1	30	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3.5	4	3.4	0	0	0	0	0	0	0	0	0	0	10.9	0	0
7896	46B	COLA CHERRY COLA	100	1	GRAMS	1	400	99.6	0	0	0	0	0	0	0	0	0	8	2	5	7	5	0	0	0	4	3	0	0	0	0	.04	.7	0	0	.1	0	12	.3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7897	46B	COLA LOW CALORIE	100	1	GRAMS	1	400	99.6	0	0	0	0	0	0	0	0	0	8	2	5	7	5	0	0	0	4	3	0	0	0	0	.04	.7	0	0	.1	0	12	.3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7898	46B	CARBONATED LEMON	100	1	GRAMS	1	400	99.6	0	0	0	0	0	0	0	0	0	8	2	5	7	5	0	0	0	4	3	0	0	0	0	.04	.7	0	0	.1	0	12	.3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7899	46B	LEMONADE LOW CAL	100	1	GRAMS	1	400	99.6	0	0	0	0	0	0	0	0	0	8	2	5	7	5	0	0	0	4	3	0	0	0	0	.04	.7	0	0	.1	0	12	.3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7900	46A	CARBONATED BEVER	100	1	GRAMS	1	400	90.7	9.5	0	0	36	152	0	0	9.5	0	8	2	5	7	5	0	0	0	4	3	0	0	0	0	.04	.7	0	0	.1	0	12	0	1	0	0	0	0	0	0	3.6	4.3	1.6	0	0	0	0	0	0	0	0	0	0	9.5	0	0
7901	46A	CARBONATED BEVER	100	1	GRAMS	1	400	90.7	9.5	0	0	36	152	0	0	9.5	0	8	2	5	7	5	0	0	0	4	3	0	0	0	0	.04	.7	0	0	.1	0	12	0	1	0	0	0	0	0	0	3.6	4.3	1.6	0	0	0	0	0	0	0	0	0	0	9.5	0	0
7902	46B	CARBONATED BEVER	100	1	GRAMS	1	400	99.6	0	0	0	0	0	0	0	0	0	8	2	5	7	5	0	0	0	4	3	0	0	0	0	.04	.7	0	0	.1	0	12	.3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7903	46B	CARBONATED BEVER	100	1	GRAMS	1	400	99.6	0	0	0	0	0	0	0	0	0	8	2	5	7	5	0	0	0	4	3	0	0	0	0	.04	.7	0	0	.1	0	12	.3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7905	46B	RIBENA LIGHT BLA	100	1	GRAMS	1	400	95	5.1	0	0	19	82	0	0	5.1	0	3	18	8	3	2	0	.01	0	3	1	0	6	0	0	0	1.2	12	0	.2	.4	0	0	0	0	0	0	0	0	0	.6	4.1	.4	0	0	0	0	0	6	0	0	0	0	5.1	0	0
7906	46B	RIBENA LIGHT BLA	100	1	GRAMS	7	70	76.7	21.3	0	0	80	341	0	0	21.3	0	19	86	11	3	7	.5	.01	.1	6	5	0	6	0	0	0	7.8	78.1	0	1	2.6	0	0	0	0	0	0	0	0	0	3.6	14	3.2	0	.5	0	0	0	6	0	0	0	.5	21.3	0	0
7907	46A	RIBENA BLACKCURR	100	1	GRAMS	1	400	86.4	13.4	0	0	50	214	0	0	13.4	0	3	16	5	5	2	0	.01	0	1	1	0	6	0	0	0	2.7	9	0	0	.4	0	0	0	0	0	0	0	0	0	1.5	10.8	1	0	0	0	0	0	6	0	0	0	0	13.4	0	0
7908	46A	RIBENA JUICE DRI	100	1	GRAMS	1	400	85.6	12.4	0	0	47	198	0	0	12.4	0	3	11	5	3	1	0	0	0	3	1	0	2	0	0	0	2.7	11.4	0	.1	.4	0	0	0	0	0	0	0	0	0	1.4	10	1	0	0	0	0	0	2	0	0	0	0	12.4	0	0
7909	46A	RIBENA JUICE DRI	100	1	GRAMS	1	400	85.6	14.3	0	0	54	229	0	0	14.3	0	3	13	6	2	1	0	0	0	2	1	0	1120	0	.01	0	1.1	11.4	0	.1	.4	2	0	0	0	0	0	0	0	0	1.6	11.5	1.1	0	0	0	0	0	1120	0	0	0	0	14.3	0	0
7910	46A	PEAR JUICE DRINK	100	1	GRAMS	1	400	88	9.3	0	0	35	150	.1	0	9.3	0	2	119	7	3	10	.1	.04	0	2	5	0	0	0	.01	.01	.1	1.5	0	.01	0	.5	0	0	0	0	0	0	0	0	2.5	1.2	5.6	0	0	0	0	0	0	0	0	0	.1	9.3	0	.01
7911	46A	HIGH JUICE DRINK	100	1	GRAMS	5	70	64.8	32.9	0	0	125	532	.3	0	32.9	0	11	113	14	4	5	0	0	0	6	4	0	7	0	.03	.01	.1	12	.1	0	0	6	.1	0	0	0	0	0	0	0	13	7.2	12.7	0	0	0	0	0	7	0	0	0	0	32.9	0	.04
7912	46A	HIGH JUICE DRINK	100	1	GRAMS	1	400	88.7	7.4	0	0	28	118	0	0	7.4	0	1	26	5	2	2	0	0	0	1	1	0	3	0	.01	0	0	0	0	0	0	1	.2	0	0	0	0	0	0	0	3.4	.7	3.3	0	0	0	0	0	3	0	0	0	0	7.4	0	0
7913	46A	HIGH JUICE DRINK	100	1	GRAMS	5	70	41.6	60.2	0	0	226	963	0	0	60.2	0	26	65	5	3	6	0	.01	.1	16	5	0	10	0	.03	.01	.1	205	.1	0	0	6	.1	0	0	0	0	0	0	0	10.1	39.7	8.9	0	1.5	0	0	0	10	0	0	0	0	60.2	0	0
7914	46A	SQUASH BLACKCURR	100	1	Grams	1	400	91.65	8.6	0	0	32.28	137.57	0	0	8.6	0	3.71	9.28	.71	.42	.85	0	0	.01	2.28	.71	0	1.42	0	0	0	.01	29.28	.01	0	0	.85	.01	0	0	0	0	0	0	0	1.44	5.67	1.27	0	.21	0	0	0	1.42	0	0	0	0	8.6	0	0
7915	46A	SQUASH CONC BLAC	100	1	GRAMS	5	70	70.3	30	0	0	113	482	.1	0	30	0	40	31	5	1	2	0	0	0	3	0	0	0	0	0	0	0	23.5	0	0	0	0	0	0	0	0	0	0	0	0	12.7	4.6	12.3	0	.3	.1	0	0	0	0	0	0	0	30	0	.01
7916	46A	SQUASH RTD BLACK	100	1	Grams	1	400	94.06	6	0	0	22.6	96.4	.02	0	6	0	8	6.2	1	.2	.4	0	0	0	.6	0	0	0	0	0	0	0	4.7	0	0	0	0	0	0	0	0	0	0	0	0	2.54	.92	2.46	0	.06	.02	0	0	0	0	0	0	0	6	0	0
7917	46A	C-VIT CONC ANY N	100	1	GRAMS	7	70	67.3	32.7	0	0	123	525	.1	0	32.7	0	16	24	74	2	3	.1	0	0	3	0	219	0	.37	0	.3	5.2	52.1	1.4	.7	1.7	55	.9	0	0	0	0	0	0	0	15.6	.7	12.2	0	4.2	0	0	0	0	0	0	0	.1	32.7	0	.01
7918	46A	C-VIT RTD ANY NO	100	1	GRAMS	1	400	91.1	9.2	0	0	35	147	0	0	9.2	0	3	11	33	2	2	0	0	0	3	0	50	0	.16	.2	.1	1.2	11.7	.3	.1	.4	20	.2	0	0	0	0	0	0	0	4.4	0	3.4	0	1.2	0	0	0	0	0	0	0	0	9.2	0	0
7919	46A	C-VIT CONC BLACK	100	1	GRAMS	7	70	69.4	30.8	0	0	116	493	0	0	30.8	0	18	30	74	1	3	.1	0	0	3	3	0	0	.37	0	.47	5.2	52.3	0	.7	1.7	55	.9	0	0	0	0	0	0	0	14.7	.7	11.4	0	4	0	0	0	0	0	0	0	.1	30.8	0	0
7920	46A	SQUASH C-VIT MAD	100	1	Grams	1	400	95.62	4.4	0	0	16.57	70.42	0	0	4.4	0	2.57	4.28	10.57	.14	.42	.01	0	0	.42	.42	0	0	.05	0	.06	.74	7.47	0	.1	.24	7.85	.12	0	0	0	0	0	0	0	2.1	.1	1.62	0	.57	0	0	0	0	0	0	0	.01	4.4	0	0
7921	50R	THOUSAND ISLAND	100	1	GRAMS	1	40	65.8	14.7	0	0	195	815	.7	15.2	14.7	0	600	16	8	1	27	.3	.02	.1	1200	35	43	50	.17	.01	.03	.1	0	9.5	.1	.3	2	.2	3	1.89	5.8	1.21	5.25	.23	13	5	4.6	5.1	0	0	0	0	0	50	0	0	0	.3	14.7	0	.11
7922	50R	WHITE SAUCE, SKI	100	1	Grams	1	150	76.92	5.49	5.77	.27	116.8	488.48	4.22	6.38	11.26	0	416.83	171.48	138.19	14.89	109.98	.28	.01	.48	656.79	12.37	46.81	73.54	.6	.04	.17	.74	.84	.34	.11	.42	5.92	.3	2.19	2.78	1.93	0	.41	.94	23.7	.03	.02	.03	5.37	.01	0	.23	.04	73.54	0	0	0	.28	0	5.49	.66
7923	50B	CREAM OF MUSHROO	100	1	GRAMS	1	500	90.7	1.3	3.1	.4	42	176	1	2.4	4.4	0	500	53	15	3	34	.2	.02	.1	600	16	0	0	0	0	0	.5	0	.1	0	0	12	.1	1	.75	1.02	.08	.35	.04	1	1.2	0	.1	0	0	0	.4	.02	0	0	0	0	.2	1.3	0	.16
7924	50B	CREAM OF TOMATO	100	1	GRAMS	1	500	87.6	13.9	2.8	.1	88	369	1	2.4	16.7	0	400	151	11	7	17	.5	.04	0	700	16	0	210	0	.1	.02	.9	0	.1	.1	0	12	.1	1	1.53	.59	.01	.04	.08	1	3.6	6.4	3.9	0	0	0	.1	.05	203	0	11	0	.5	13.9	0	.16
7925	50B	CREAM OF CHICKEN	100	1	GRAMS	1	500	90.4	.1	3.7	0	32	136	1.4	1.4	3.8	0	400	31	17	3	35	.1	0	.1	600	16	0	0	0	.05	.05	1.2	0	.1	0	0	120	.1	0	.44	.6	.05	.21	.03	1	0	0	.1	0	0	0	0	.02	0	0	0	0	.1	.1	0	.22
7926	50B	CREAM OF MUSHROO	100	1	GRAMS	1	500	90.7	1.2	4.8	.2	49	207	.9	2.6	6	0	400	53	15	3	34	.2	.02	.1	600	16	0	0	0	0	0	.5	0	.1	0	0	12	.1	1	.81	1.11	.09	.38	.05	1	1.2	0	.1	0	0	0	.4	.02	0	0	0	0	.2	1.2	0	.14
7927	50B	CREAM OF TOMATO	100	1	GRAMS	1	500	87.6	6.9	3.1	.2	73	307	.8	3.6	10	0	500	151	11	7	17	.5	.04	.1	700	16	0	210	0	.1	.02	.9	0	.1	.1	0	12	.1	1	2.3	.88	.02	.07	.12	1	1.9	3	2	0	0	0	.1	.05	203	0	11	0	.5	6.9	0	.12
7928	50B	VEGETABLE SOUP,	100	1	GRAMS	1	500	87.8	1.7	5.2	.5	45	191	1.7	1.4	6.9	0	450	111	12	8	29	.4	.04	.2	700	16	0	18	0	.09	.02	.6	0	.1	.1	0	10	.1	1	.44	.6	.04	.2	.02	0	.5	.7	.5	0	0	0	1.5	.07	18	0	0	0	.4	1.7	0	.27
7929	50B	CARTON SOUP OTHE	100	1	Grams	1	500	88.6	2.9	4	.23	50	211.33	1.3	2.13	6.9	0	450	97.66	13.33	6	27	.33	.02	.13	666.66	16	0	76	0	.08	.03	.9	0	.1	.06	0	47.33	.1	.66	1.06	.69	.03	.16	.05	.66	.8	1.23	.86	0	0	0	.53	.04	73.66	0	3.66	0	.33	2.9	0	.2
7953	43R	AMERICAN HARD GU	100	1	GRAMS	1	120	14	60.2	1.9	0	259	1104	6.5	0	62.1	0	30	8	5	1	4	.1	.02	0	370	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.4	16	9.4	0	3.5	12.9	0	.02	0	0	0	0	.1	60.2	0	1.04
7954	44R	BALISTO LION BAR	100	1	GRAMS	1	110	2.7	48.1	9.9	5.2	499	2090	8.7	27.4	58	0	160	325	130	50	190	1.7	.24	1	250	15	19	18	0	.11	.26	4.1	0	2.9	.1	0	17	.6	3	13.49	8.51	.05	2.15	1.94	11	4.4	31.3	2.2	5.3	2.3	2.6	3.8	.59	18	0	0	0	1.7	42.8	5.3	1.39
7955	44R	FRUIT AND NUT MI	100	1	Grams	1	110	2.82	52.77	.2	2.14	508.2	2125.2	7.78	30.95	52.97	0	74.6	483	190.6	59.5	213.6	1.82	.35	1.16	150.7	25.8	19.2	10	0	.11	.41	2.43	.1	2.97	.09	.48	17	.72	11	14.92	12.41	.09	1.4	.3	18.4	3.55	37.65	3.57	8.08	0	0	1.49	.69	10	0	0	0	1.82	40.82	11.95	1.28
7956	44R	CHOCOLATE AND CA	100	1	Grams	1	110	3.9	38.5	4.7	3.65	510	2131	15.5	31.8	43.2	0	30	470	105	129	295	2	.63	2.2	58.5	22	0	14	0	.61	.44	10.65	0	5.45	.3	0	57	1.7	37	9.32	13.26	.04	7.43	.11	8.5	.15	35.9	0	2.4	.05	0	3.1	1.17	14	0	0	0	2	33	5.5	2.79
7958	44R	MILK CHOCOLATE R	100	1	Grams	1	110	7.25	63.05	0	3.45	396	1667.5	4.9	15.55	63.05	0	72.5	702.5	130.5	42.5	148	2.6	.31	.9	97	15.5	12	11.5	0	.09	.27	1.55	.5	.6	.15	.3	10.5	.4	3	9.08	4.63	.1	.56	.19	11.5	17.3	23.3	17.45	5.05	0	0	1.4	.26	11.5	0	0	0	2.6	40.65	22.4	.78
7959	44R	MILKY WAY	100	1	GRAMS	1	110	6.6	62.6	.8	0	397	1674	4.4	15.8	63.4	0	100	230	120	42	130	1.7	.13	.8	160	15	0	0	0	.05	.2	1.3	0	1.9	0	0	10	.6	2	8.32	4.72	.07	.74	1.24	14	8.3	43.3	0	6.1	4.9	0	0	.25	0	0	0	0	1.7	56.5	6.1	.7
7960	44R	WHITE CHOCOLATE	100	1	GRAMS	1	110	.6	58.3	0	0	529	2212	8	30.9	58.3	0	110	350	270	26	230	.2	0	.9	240	30	0	75	0	.08	.49	2.8	0	1.1	.1	0	10	.6	2	18.2	9.76	.09	1.01	.14	23	0	47.6	.1	10.7	0	0	0	0	75	0	0	0	.2	47.6	10.7	1.28
7961	44R	M & MS CHOCOLATE	100	1	GRAMS	1	110	1.5	70.8	3.1	0	456	1921	5.4	17.5	73.9	0	58	270	150	48	160	1.5	.25	.9	110	24	0	28	0	.08	.79	2	0	.8	0	0	4	.7	2	10.44	5.43	.05	.59	.22	17	.3	65.6	0	4.8	.1	0	0	.25	28	0	0	0	1.5	66	4.8	.86
7962	44R	CREAM EGG/MINTOL	100	1	GRAMS	1	110	6.7	71	0	0	414	1746	4.1	14.6	71	0	55	210	120	27	130	.8	.1	.6	110	94	47	55	.6	.06	.34	1.5	0	1.1	0	1	12	.6	3	8.2	4.3	0	.5	.2	10	3.6	45.7	1.8	4.9	2	13	0	.1	55	0	0	0	.8	66.1	4.9	.66
7963	44R	CRUNCHIE BAR	100	1	GRAMS	1	110	6.1	63.6	7.5	0	457	1923	4.6	19.1	71.1	0	88	270	105	48	145	1.2	.3	.8	135	15	0	28	0	.05	.2	1.4	0	1.7	0	0	17	.7	3	11.22	5.57	.05	.58	.41	19	1.5	54.1	1.3	5.5	1.2	0	0	.03	28	0	0	0	1.2	58.1	5.5	.73
7964	44R	TOPIC/MARATHON (	100	1	GRAMS	1	110	4.7	57.8	.5	3.1	490	2051	9	26.1	58.3	0	171	365	145	58	205	6.9	.41	.1	295	18	0	50	0	.05	.3	1.2	1.3	8.1	.07	0	9	.6	6	10.13	8.91	.58	5.62	1.38	13	8.8	37.4	.1	5.7	5.8	0	1.9	.59	50	0	0	0	6.9	52.1	5.7	1.44
7965	43R	CANDY TOTS SKITT	100	1	GRAMS	1	120	3.3	93.4	.5	0	384	1635	.4	3.4	93.9	0	49	34	5	2	12	.4	.09	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.29	1.58	.26	.94	.04	0	12.4	71.6	3.3	0	6	0	0	.02	0	0	0	0	.4	93.4	0	.06
7966	43R	TRACKER BAR PEAN	100	1	GRAMS	1	120	2.9	27.9	32.3	3.3	519	2173	9.8	28.2	60.2	0	115	315	52	55	190	1.2	.16	1.1	210	6	0	0	0	.16	.11	4.4	0	0	.1	0	11	.5	10	5.59	12.56	.85	5.83	1.64	0	9	12	.2	1.5	5.3	0	3.6	1.36	0	0	0	0	1.2	26.4	1.5	1.56
7967	43R	TRACKER BAR CHOC	100	1	GRAMS	1	120	2.8	27.9	36.2	2	514	2156	8.8	26.5	64.1	0	115	315	48	55	190	1.2	.16	1.1	210	6	0	0	0	.15	.12	3.8	0	0	.1	0	11	.5	10	5.26	11.81	.8	5.48	1.54	0	9	12	.2	1.5	5.3	0	2.2	1.36	0	0	0	0	1.2	26.4	1.5	1.4
7968	43R	SUGAR FREE MINTS	100	1	GRAMS	1	120	1.4	99	0	0	381	1625	0	1.1	99	0	25	8	5	2	12	.4	.09	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.1	.53	.09	.32	.01	0	0	0	0	0	0	99	0	.02	0	0	0	0	.4	99	0	0
7969	43R	MILK GUMS	100	1	GRAMS	1	120	14	57.5	1.9	0	249	1061	6.5	0	59.4	0	30	8	5	1	4	.1	.02	0	370	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.9	45.5	0	3	4.1	0	0	0	0	0	0	0	.1	54.5	3	1.04
7970	43R	CHEWING GUM SUGA	100	1	GRAMS	1	30	0	59	0	0	221	944	0	0	59	0	0	2	2	0	0	0	.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	.02	0	0	0	0	0	59	0	0
7971	44R	APPLAUSE	100	1	GRAMS	1	110	3.5	49.8	16.2	.5	452	1902	6	20.1	66	0	190	190	110	28	130	1.1	.08	.7	250	15	0	7	0	.06	.22	1.5	0	3.7	.1	0	5	.6	3	10.51	5.34	.08	1.52	1.73	20	6.9	32.6	.1	6.2	4.1	0	.5	.22	7	0	0	0	1.1	43.6	6.2	.96
7972	44R	BITZ BAR (PLAIN	100	1	GRAMS	1	110	6.1	65.8	7.5	0	485	2038	4.3	21.4	73.3	0	88	270	105	48	145	1.2	.3	.8	135	13	81	119	0	.05	.2	1.1	0	1.7	0	0	17	.7	3	12.78	6.67	.06	.73	.15	11	2.1	57.1	.3	3.9	2.3	0	0	.39	119	0	0	0	1.2	61.9	3.9	.68
7973	44R	BITZ BAR MILK CH	100	1	GRAMS	1	110	6.1	65.8	7.5	0	485	2038	4.3	21.4	73.3	0	88	270	105	48	145	1.2	.3	.8	135	21	81	119	0	.05	.2	1.1	0	1.7	0	0	17	.7	3	12.75	6.55	.06	.72	.27	17	2.2	53	.4	7.8	2.3	0	0	.39	119	0	0	0	1.2	58	7.8	.68
7974	44R	DAIRY CRUNCH MIL	100	1	Grams	1	110	1.55	49.87	11.86	.84	497.35	2085.4	7.46	26.23	61.73	0	252.25	348.25	184.25	48.5	208	2.37	.21	1.1	454.25	27.6	20.4	9.35	.42	.23	.61	4.41	0	.51	.25	.63	34.4	.7	3.7	15.38	7.91	.07	.89	.32	19.55	.23	40.93	.19	8.58	.01	0	.78	.33	9.35	0	0	0	2.37	41.01	8.85	1.2
7975	44R	DAIRY CRUNCH WHI	100	1	Grams	1	110	.96	51.14	11.86	.16	505	2116	7.71	26.4	63.01	0	273.5	318.5	231	28.1	216.5	1.35	.01	.93	501	27.6	0	63.75	.42	.24	.61	4.84	0	1.02	.34	.12	33.55	.61	2	15.51	8.32	.07	.89	.11	19.55	.15	41.78	.19	9.09	.01	0	.1	.15	63.75	0	0	0	1.35	41.78	9.36	1.24
7976	43R	NOUGAT	100	1	Grams	1	120	4.92	80.78	.54	2.58	422.4	1785.8	4.22	11.16	81.32	0	35.8	159.6	52.6	55	112.2	.76	.29	.7	41.6	.4	0	0	0	.04	.15	1.3	0	4.8	.02	0	9.6	.08	12.8	.93	6.89	.01	2.83	0	0	8.04	63.84	0	0	0	8.9	1.48	.34	0	0	0	0	.7	79.94	.84	.81
7977	43R	FRUIT POLOS	100	1	GRAMS	1	120	6.1	98	0	0	367	1568	0	0	98	0	25	8	5	2	12	.4	.09	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.6	76.3	1.6	0	10.5	0	0	.02	0	0	0	0	.4	98	0	0
7978	44R	DOUBLE DECKER	100	1	GRAMS	1	110	6.1	53.1	18	1.3	473	1991	6	20.3	71.1	0	88	270	105	48	145	1.2	.3	.8	135	30	24	11	0	.05	.2	1.8	0	1.7	0	0	17	.7	3	10.62	5.4	.08	1.53	1.75	8	3.4	40.4	1.7	5.5	2.1	0	1.3	.48	11	0	0	0	1.2	47.6	5.5	.96
7979	43R	BOILED SWEETS SO	100	1	GRAMS	1	120	10.2	81.9	.4	0	309	1317	0	0	82.3	0	25	8	5	2	12	.4	.09	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.8	62.8	2	0	9.3	0	0	.02	0	0	0	0	.4	81.9	0	0
7980	43R	CREAMY FUDGE NO	100	1	GRAMS	1	120	2.4	66.7	0	0	426	1793	2.2	18.6	66.7	0	335	105	73	8	62	.2	.02	.3	500	14	0	14	0	0	0	.4	0	1.3	0	0	0	0	0	9.46	4.32	.05	.33	3.27	17	5.2	32.4	.7	2	4.5	21.9	0	0	14	0	0	0	.2	64.7	2	.35
7981	43R	VITASWEETS (SWEE	100	1	GRAMS	1	120	10.2	81.9	.4	0	309	1317	0	0	82.3	0	25	8	5	2	12	.4	.09	0	68	0	0	0	0	5.4	6.6	62	310	0	5.8	22	900	12	1	0	0	0	0	0	0	7.8	62.8	2	0	9.3	0	0	.02	0	0	0	0	.4	81.9	0	0
